quantile, ccyy, threshold, hc, hceduc, hcmed, hcbgiftg, hncbgiftg
14, si10, 9618, 12837.351, 0, 188.33333, 101.53846, 101.53846
15, si10, 10001, 16844.778, 112.79487, 272.94872, 283.51282, 283.51282
16, si10, 10329, 16568.595, 55.923077, 247.74359, 239.10256, 239.10256
17, si10, 10824, 16247.026, 96.425, 319.625, 168.9, 168.9
18, si10, 11223, 16844.97, 23.512821, 326.64103, 131.94872, 131.94872
19, si10, 11547, 17566.108, 39.948718, 411.66667, 160.61538, 160.61538
20, si10, 11913, 18477.892, 27.769231, 576.25641, 173.05128, 173.05128
21, si10, 12257, 16429.667, 69.85, 217.1, 258.15, 258.15
22, si10, 12617, 18572.389, 39.25641, 526.15385, 118.84615, 118.84615
23, si10, 12953, 18302.343, 71.717949, 271.74359, 231.69231, 231.69231
24, si10, 13308, 18166.971, 60.179487, 694.33333, 107.92308, 107.92308
